CustomerID,Age,Gender,PurchaseAmount,SatisfactionScore,Feedback
1,34,Male,120.50,8,"Great service, very satisfied."
2,29,Female,,7,"Good, but there is room for improvement."
3,45,Male,200.00,, "Excellent experience. Will definitely return."
4,,Female,95.00,6,"Average service. Not very impressed."
5,50,Other,150.00,8,"Satisfied with the purchase, but delivery was late."
6,27,Female,110.00,7,"Good value for money. Happy with the product."
7,38,Male,180.00,9,"Fantastic! The staff was very helpful."
8,41,Female,,8,"Very good, but I had to wait longer than expected."
9,22,Male,75.00,5,"Service was okay. I expected better."
10,33,Other,130.00,6,"Decent, but the quality could be improved."
11,28,Female,140.00,, "Loved it! Will recommend to others."
12,52,Male,160.00,7,"Satisfactory. Not the best, but not bad either."
13,30,Female,,8,"Good experience. Product meets expectations."
14,47,Other,220.00,10,"Perfect in every way! Exceeded my expectations."
15,35,Male,100.00,6,"Okay service, nothing extraordinary."
16,24,Female,130.00,7,"Nice experience, but the return policy could be better."
17,40,Male,140.00,, "Very good service. Would come again."
18,26,Female,70.00,5,"Not satisfied. The product was different from what I expected."
19,,Other,190.00,8,"Pretty good. I liked the product."
20,31,Male,,7,"Service was okay, but the product is good."
